origin_code,destination_code,airline_code,flight_number,cabin_class,price,currency,departure_date,days_until_dep,day_of_week,month,week_of_year,is_holiday,is_weekend,seats_available,recorded_at,is_live
PAT,COK,6E,HIST-000,Economy,5423,INR,2025-03-02,14,6,3,9,False,True,50,2025-02-16 00:00:00,False
LKO,BBI,QP,HIST-000,Economy,14899,INR,2024-02-11,14,6,2,6,False,True,50,2024-01-28 00:00:00,False
DEL,BOM,I5,HIST-000,Economy,11023,INR,2025-05-28,14,2,5,22,False,False,50,2025-05-14 00:00:00,False
PNQ,LKO,QP,HIST-000,Economy,10856,INR,2025-07-12,14,5,7,28,False,True,50,2025-06-28 00:00:00,False
DEL,IDR,UK,HIST-000,Economy,6397,INR,2025-09-24,14,2,9,39,False,False,50,2025-09-10 00:00:00,False
HYD,AMD,I5,HIST-000,Economy,6955,INR,2025-03-05,14,2,3,10,False,False,50,2025-02-19 00:00:00,False
MAA,GOI,AI,HIST-000,Economy,3139,INR,2023-03-28,14,1,3,13,False,False,50,2023-03-14 00:00:00,False
RPR,BOM,AI,HIST-000,Economy,8258,INR,2025-05-09,14,4,5,19,False,False,50,2025-04-25 00:00:00,False
BLR,BOM,QP,HIST-000,Economy,2913,INR,2024-09-08,14,6,9,36,False,True,50,2024-08-25 00:00:00,False
JAI,GOI,G8,HIST-000,Economy,7270,INR,2025-09-14,14,6,9,37,False,True,50,2025-08-31 00:00:00,False
PNQ,HYD,UK,HIST-000,Economy,7628,INR,2025-12-01,14,0,12,49,False,False,50,2025-11-17 00:00:00,False
NAG,STV,I5,HIST-000,Economy,11010,INR,2024-11-22,14,4,11,47,False,False,50,2024-11-08 00:00:00,False
DEL,IDR,QP,HIST-000,Economy,8521,INR,2025-05-22,14,3,5,21,False,False,50,2025-05-08 00:00:00,False
AMD,LKO,I5,HIST-000,Economy,6230,INR,2023-04-25,14,1,4,17,False,False,50,2023-04-11 00:00:00,False
BBI,LKO,G8,HIST-000,Economy,3413,INR,2025-07-09,14,2,7,28,False,False,50,2025-06-25 00:00:00,False
COK,IDR,QP,HIST-000,Economy,6075,INR,2024-06-01,14,5,6,22,False,True,50,2024-05-18 00:00:00,False
LKO,RPR,G8,HIST-000,Economy,12037,INR,2023-02-13,14,0,2,7,False,False,50,2023-01-30 00:00:00,False
BOM,BLR,6E,HIST-000,Economy,10427,INR,2023-05-28,14,6,5,21,False,True,50,2023-05-14 00:00:00,False
RPR,BOM,QP,HIST-000,Economy,12335,INR,2023-11-28,14,1,11,48,False,False,50,2023-11-14 00:00:00,False
GOI,LKO,9I,HIST-000,Economy,3358,INR,2025-09-11,14,3,9,37,False,False,50,2025-08-28 00:00:00,False
IDR,PNQ,S5,HIST-000,Economy,2588,INR,2024-04-26,14,4,4,17,False,False,50,2024-04-12 00:00:00,False
BBI,BOM,I5,HIST-000,Economy,6566,INR,2025-01-05,14,6,1,1,False,True,50,2024-12-22 00:00:00,False
BLR,GAU,AI,HIST-000,Economy,11162,INR,2023-01-27,14,4,1,4,False,False,50,2023-01-13 00:00:00,False
BBI,MAA,S5,HIST-000,Economy,9785,INR,2023-10-09,14,0,10,41,False,False,50,2023-09-25 00:00:00,False
PAT,AMD,S5,HIST-000,Economy,6696,INR,2025-06-18,14,2,6,25,False,False,50,2025-06-04 00:00:00,False
LKO,AMD,G8,HIST-000,Economy,6589,INR,2025-03-03,14,0,3,10,False,False,50,2025-02-17 00:00:00,False
VNS,PAT,I5,HIST-000,Economy,11841,INR,2023-01-01,14,6,1,52,False,True,50,2022-12-18 00:00:00,False
BOM,BBI,2T,HIST-000,Economy,7262,INR,2023-05-22,14,0,5,21,False,False,50,2023-05-08 00:00:00,False
MAA,JAI,6E,HIST-000,Economy,2888,INR,2024-04-12,14,4,4,15,False,False,50,2024-03-29 00:00:00,False
PAT,CCU,G8,HIST-000,Economy,8913,INR,2023-04-26,14,2,4,17,False,False,50,2023-04-12 00:00:00,False
RPR,PNQ,AI,HIST-000,Economy,12399,INR,2024-04-16,14,1,4,16,False,False,50,2024-04-02 00:00:00,False
STV,IDR,2T,HIST-000,Economy,7112,INR,2025-10-21,14,1,10,43,False,False,50,2025-10-07 00:00:00,False
BLR,PAT,AI,HIST-000,Economy,8745,INR,2024-08-07,14,2,8,32,False,False,50,2024-07-24 00:00:00,False
AMD,NAG,9I,HIST-000,Economy,12491,INR,2023-08-04,14,4,8,31,False,False,50,2023-07-21 00:00:00,False
GAU,HYD,SG,HIST-000,Economy,11636,INR,2025-01-01,14,2,1,1,False,False,50,2024-12-18 00:00:00,False
JAI,BLR,SG,HIST-000,Economy,8155,INR,2024-04-18,14,3,4,16,False,False,50,2024-04-04 00:00:00,False
GAU,HYD,AI,HIST-000,Economy,8932,INR,2024-02-11,14,6,2,6,False,True,50,2024-01-28 00:00:00,False
VNS,COK,QP,HIST-000,Economy,6648,INR,2025-10-01,14,2,10,40,False,False,50,2025-09-17 00:00:00,False
HYD,BOM,QP,HIST-000,Economy,3600,INR,2024-11-21,14,3,11,47,False,False,50,2024-11-07 00:00:00,False
RPR,STV,G8,HIST-000,Economy,9335,INR,2023-07-05,14,2,7,27,False,False,50,2023-06-21 00:00:00,False
IDR,HYD,G8,HIST-000,Economy,6336,INR,2024-02-14,14,2,2,7,False,False,50,2024-01-31 00:00:00,False
GOI,BBI,UK,HIST-000,Economy,8147,INR,2024-09-12,14,3,9,37,False,False,50,2024-08-29 00:00:00,False
HYD,RPR,S5,HIST-000,Economy,13775,INR,2023-09-12,14,1,9,37,False,False,50,2023-08-29 00:00:00,False
VNS,GAU,S5,HIST-000,Economy,13348,INR,2025-12-12,14,4,12,50,False,False,50,2025-11-28 00:00:00,False
GAU,LKO,I5,HIST-000,Economy,9756,INR,2025-03-26,14,2,3,13,False,False,50,2025-03-12 00:00:00,False
BLR,PNQ,AI,HIST-000,Economy,8771,INR,2025-05-16,14,4,5,20,False,False,50,2025-05-02 00:00:00,False
PNQ,AMD,2T,HIST-000,Economy,11523,INR,2023-02-27,14,0,2,9,False,False,50,2023-02-13 00:00:00,False
RPR,AMD,SG,HIST-000,Economy,12223,INR,2025-06-13,14,4,6,24,False,False,50,2025-05-30 00:00:00,False
MAA,AMD,UK,HIST-000,Economy,4469,INR,2025-07-27,14,6,7,30,False,True,50,2025-07-13 00:00:00,False
RPR,PNQ,AI,HIST-000,Economy,8179,INR,2024-11-21,14,3,11,47,False,False,50,2024-11-07 00:00:00,False
LKO,STV,2T,HIST-000,Economy,10679,INR,2023-12-02,14,5,12,48,False,True,50,2023-11-18 00:00:00,False
BOM,PAT,AI,HIST-000,Economy,7869,INR,2024-03-24,14,6,3,12,False,True,50,2024-03-10 00:00:00,False
VNS,COK,S5,HIST-000,Economy,16428,INR,2024-04-18,14,3,4,16,False,False,50,2024-04-04 00:00:00,False
GOI,PNQ,G8,HIST-000,Economy,15005,INR,2025-12-10,14,2,12,50,False,False,50,2025-11-26 00:00:00,False
MAA,CCU,2T,HIST-000,Economy,5324,INR,2024-12-19,14,3,12,51,False,False,50,2024-12-05 00:00:00,False
STV,PAT,AI,HIST-000,Economy,5278,INR,2024-08-28,14,2,8,35,False,False,50,2024-08-14 00:00:00,False
AMD,BBI,G8,HIST-000,Economy,7881,INR,2024-10-27,14,6,10,43,False,True,50,2024-10-13 00:00:00,False
STV,PNQ,AI,HIST-000,Economy,11738,INR,2024-03-21,14,3,3,12,False,False,50,2024-03-07 00:00:00,False
JAI,DEL,UK,HIST-000,Economy,13993,INR,2023-02-19,14,6,2,7,False,True,50,2023-02-05 00:00:00,False
GAU,PNQ,AI,HIST-000,Economy,4330,INR,2025-09-08,14,0,9,37,False,False,50,2025-08-25 00:00:00,False
BLR,GOI,I5,HIST-000,Economy,8679,INR,2023-06-10,14,5,6,23,False,True,50,2023-05-27 00:00:00,False
IDR,NAG,SG,HIST-000,Economy,10416,INR,2025-10-06,14,0,10,41,False,False,50,2025-09-22 00:00:00,False
IDR,HYD,S5,HIST-000,Economy,3625,INR,2025-02-05,14,2,2,6,False,False,50,2025-01-22 00:00:00,False
IDR,BBI,9I,HIST-000,Economy,9878,INR,2023-08-09,14,2,8,32,False,False,50,2023-07-26 00:00:00,False
JAI,AMD,I5,HIST-000,Economy,14648,INR,2024-03-19,14,1,3,12,False,False,50,2024-03-05 00:00:00,False
BBI,IDR,I5,HIST-000,Economy,10171,INR,2024-09-15,14,6,9,37,False,True,50,2024-09-01 00:00:00,False
BOM,PAT,6E,HIST-000,Economy,13246,INR,2025-09-05,14,4,9,36,False,False,50,2025-08-22 00:00:00,False
RPR,STV,SG,HIST-000,Economy,8783,INR,2023-03-08,14,2,3,10,False,False,50,2023-02-22 00:00:00,False
NAG,STV,S5,HIST-000,Economy,7903,INR,2025-07-05,14,5,7,27,False,True,50,2025-06-21 00:00:00,False
BBI,PAT,9I,HIST-000,Economy,7686,INR,2025-12-24,14,2,12,52,False,False,50,2025-12-10 00:00:00,False
LKO,PAT,2T,HIST-000,Economy,10385,INR,2024-02-03,14,5,2,5,False,True,50,2024-01-20 00:00:00,False
STV,AMD,6E,HIST-000,Economy,3909,INR,2024-04-26,14,4,4,17,False,False,50,2024-04-12 00:00:00,False
VNS,LKO,2T,HIST-000,Economy,6700,INR,2023-10-13,14,4,10,41,False,False,50,2023-09-29 00:00:00,False
RPR,JAI,UK,HIST-000,Economy,4541,INR,2025-12-15,14,0,12,51,False,False,50,2025-12-01 00:00:00,False
CCU,MAA,QP,HIST-000,Economy,4657,INR,2025-05-12,14,0,5,20,False,False,50,2025-04-28 00:00:00,False
IDR,BOM,G8,HIST-000,Economy,7932,INR,2025-09-07,14,6,9,36,False,True,50,2025-08-24 00:00:00,False
STV,BBI,G8,HIST-000,Economy,9892,INR,2024-12-09,14,0,12,50,False,False,50,2024-11-25 00:00:00,False
STV,PNQ,G8,HIST-000,Economy,11836,INR,2023-02-06,14,0,2,6,False,False,50,2023-01-23 00:00:00,False
MAA,VNS,9I,HIST-000,Economy,5165,INR,2023-07-03,14,0,7,27,False,False,50,2023-06-19 00:00:00,False
LKO,GOI,SG,HIST-000,Economy,10148,INR,2023-10-12,14,3,10,41,False,False,50,2023-09-28 00:00:00,False
LKO,VNS,6E,HIST-000,Economy,6499,INR,2025-10-25,14,5,10,43,False,True,50,2025-10-11 00:00:00,False
CCU,GOI,G8,HIST-000,Economy,6240,INR,2023-06-06,14,1,6,23,False,False,50,2023-05-23 00:00:00,False
VNS,IDR,S5,HIST-000,Economy,5373,INR,2023-10-03,14,1,10,40,False,False,50,2023-09-19 00:00:00,False
RPR,IDR,SG,HIST-000,Economy,9394,INR,2024-11-26,14,1,11,48,False,False,50,2024-11-12 00:00:00,False
JAI,PAT,9I,HIST-000,Economy,5414,INR,2024-07-16,14,1,7,29,False,False,50,2024-07-02 00:00:00,False
RPR,BOM,AI,HIST-000,Economy,11540,INR,2025-01-13,14,0,1,3,False,False,50,2024-12-30 00:00:00,False
BLR,AMD,9I,HIST-000,Economy,3739,INR,2024-12-06,14,4,12,49,False,False,50,2024-11-22 00:00:00,False
JAI,PNQ,UK,HIST-000,Economy,7817,INR,2024-11-19,14,1,11,47,False,False,50,2024-11-05 00:00:00,False
VNS,CCU,G8,HIST-000,Economy,4998,INR,2024-08-13,14,1,8,33,False,False,50,2024-07-30 00:00:00,False
HYD,CCU,G8,HIST-000,Economy,5478,INR,2024-09-09,14,0,9,37,False,False,50,2024-08-26 00:00:00,False
BOM,MAA,9I,HIST-000,Economy,13290,INR,2025-09-03,14,2,9,36,False,False,50,2025-08-20 00:00:00,False
GAU,HYD,AI,HIST-000,Economy,7647,INR,2025-02-16,14,6,2,7,False,True,50,2025-02-02 00:00:00,False
HYD,RPR,UK,HIST-000,Economy,5138,INR,2024-09-25,14,2,9,39,False,False,50,2024-09-11 00:00:00,False
IDR,DEL,I5,HIST-000,Economy,9744,INR,2023-05-10,14,2,5,19,False,False,50,2023-04-26 00:00:00,False
LKO,NAG,SG,HIST-000,Economy,7846,INR,2023-06-08,14,3,6,23,False,False,50,2023-05-25 00:00:00,False
CCU,BLR,AI,HIST-000,Economy,11381,INR,2025-12-19,14,4,12,51,False,False,50,2025-12-05 00:00:00,False
AMD,PAT,AI,HIST-000,Economy,7533,INR,2024-03-27,14,2,3,13,False,False,50,2024-03-13 00:00:00,False
JAI,LKO,S5,HIST-000,Economy,3481,INR,2024-01-05,14,4,1,1,False,False,50,2023-12-22 00:00:00,False
IDR,STV,S5,HIST-000,Economy,4239,INR,2025-05-04,14,6,5,18,False,True,50,2025-04-20 00:00:00,False
VNS,JAI,G8,HIST-000,Economy,12074,INR,2023-01-26,14,3,1,4,False,False,50,2023-01-12 00:00:00,False
PAT,LKO,QP,HIST-000,Economy,9102,INR,2025-07-09,14,2,7,28,False,False,50,2025-06-25 00:00:00,False
GOI,HYD,S5,HIST-000,Economy,5743,INR,2024-11-26,14,1,11,48,False,False,50,2024-11-12 00:00:00,False
NAG,VNS,SG,HIST-000,Economy,9725,INR,2025-06-13,14,4,6,24,False,False,50,2025-05-30 00:00:00,False
HYD,RPR,QP,HIST-000,Economy,7115,INR,2023-06-06,14,1,6,23,False,False,50,2023-05-23 00:00:00,False
HYD,GAU,S5,HIST-000,Economy,11761,INR,2023-06-23,14,4,6,25,False,False,50,2023-06-09 00:00:00,False
LKO,PNQ,6E,HIST-000,Economy,7344,INR,2024-06-01,14,5,6,22,False,True,50,2024-05-18 00:00:00,False
AMD,VNS,UK,HIST-000,Economy,6905,INR,2023-07-10,14,0,7,28,False,False,50,2023-06-26 00:00:00,False
VNS,GAU,6E,HIST-000,Economy,13193,INR,2023-04-01,14,5,4,13,False,True,50,2023-03-18 00:00:00,False
GAU,BLR,9I,HIST-000,Economy,6791,INR,2025-01-03,14,4,1,1,False,False,50,2024-12-20 00:00:00,False
PAT,RPR,SG,HIST-000,Economy,14942,INR,2024-04-27,14,5,4,17,False,True,50,2024-04-13 00:00:00,False
BBI,STV,SG,HIST-000,Economy,12281,INR,2023-03-05,14,6,3,9,False,True,50,2023-02-19 00:00:00,False
RPR,COK,I5,HIST-000,Economy,15029,INR,2024-10-18,14,4,10,42,False,False,50,2024-10-04 00:00:00,False
STV,LKO,QP,HIST-000,Economy,11191,INR,2025-07-22,14,1,7,30,False,False,50,2025-07-08 00:00:00,False
HYD,CCU,QP,HIST-000,Economy,8198,INR,2025-05-15,14,3,5,20,False,False,50,2025-05-01 00:00:00,False
IDR,BLR,S5,HIST-000,Economy,10195,INR,2025-11-25,14,1,11,48,False,False,50,2025-11-11 00:00:00,False
AMD,HYD,9I,HIST-000,Economy,3612,INR,2023-10-21,14,5,10,42,False,True,50,2023-10-07 00:00:00,False
STV,RPR,SG,HIST-000,Economy,8412,INR,2025-08-24,14,6,8,34,False,True,50,2025-08-10 00:00:00,False
GAU,BOM,2T,HIST-000,Economy,11157,INR,2023-09-19,14,1,9,38,False,False,50,2023-09-05 00:00:00,False
HYD,JAI,SG,HIST-000,Economy,10928,INR,2025-03-23,14,6,3,12,False,True,50,2025-03-09 00:00:00,False
JAI,CCU,6E,HIST-000,Economy,4666,INR,2025-12-13,14,5,12,50,False,True,50,2025-11-29 00:00:00,False
HYD,GAU,6E,HIST-000,Economy,13915,INR,2023-09-15,14,4,9,37,False,False,50,2023-09-01 00:00:00,False
NAG,RPR,S5,HIST-000,Economy,10216,INR,2023-12-28,14,3,12,52,False,False,50,2023-12-14 00:00:00,False
BLR,COK,SG,HIST-000,Economy,11791,INR,2025-01-14,14,1,1,3,False,False,50,2024-12-31 00:00:00,False
GOI,RPR,6E,HIST-000,Economy,4108,INR,2023-10-09,14,0,10,41,False,False,50,2023-09-25 00:00:00,False
VNS,DEL,QP,HIST-000,Economy,13051,INR,2024-03-24,14,6,3,12,False,True,50,2024-03-10 00:00:00,False
COK,IDR,2T,HIST-000,Economy,14504,INR,2023-10-09,14,0,10,41,False,False,50,2023-09-25 00:00:00,False
DEL,NAG,QP,HIST-000,Economy,14660,INR,2025-05-22,14,3,5,21,False,False,50,2025-05-08 00:00:00,False
BBI,GOI,I5,HIST-000,Economy,11215,INR,2023-06-05,14,0,6,23,False,False,50,2023-05-22 00:00:00,False
GOI,CCU,9I,HIST-000,Economy,10327,INR,2023-07-22,14,5,7,29,False,True,50,2023-07-08 00:00:00,False
NAG,COK,6E,HIST-000,Economy,12624,INR,2025-06-09,14,0,6,24,False,False,50,2025-05-26 00:00:00,False
COK,PNQ,AI,HIST-000,Economy,8409,INR,2023-09-03,14,6,9,35,False,True,50,2023-08-20 00:00:00,False
STV,COK,SG,HIST-000,Economy,17591,INR,2025-07-26,14,5,7,30,False,True,50,2025-07-12 00:00:00,False
LKO,GOI,G8,HIST-000,Economy,5997,INR,2024-08-16,14,4,8,33,False,False,50,2024-08-02 00:00:00,False
GOI,VNS,I5,HIST-000,Economy,17485,INR,2024-10-08,14,1,10,41,False,False,50,2024-09-24 00:00:00,False
COK,IDR,G8,HIST-000,Economy,11975,INR,2023-08-01,14,1,8,31,False,False,50,2023-07-18 00:00:00,False
COK,BLR,6E,HIST-000,Economy,6719,INR,2024-06-24,14,0,6,26,False,False,50,2024-06-10 00:00:00,False
VNS,DEL,2T,HIST-000,Economy,7242,INR,2024-04-20,14,5,4,16,False,True,50,2024-04-06 00:00:00,False
COK,JAI,6E,HIST-000,Economy,3800,INR,2025-05-24,14,5,5,21,False,True,50,2025-05-10 00:00:00,False
JAI,NAG,SG,HIST-000,Economy,3280,INR,2025-02-27,14,3,2,9,False,False,50,2025-02-13 00:00:00,False
AMD,COK,6E,HIST-000,Economy,11901,INR,2025-06-02,14,0,6,23,False,False,50,2025-05-19 00:00:00,False
DEL,VNS,I5,HIST-000,Economy,7237,INR,2024-06-27,14,3,6,26,False,False,50,2024-06-13 00:00:00,False
RPR,VNS,G8,HIST-000,Economy,11154,INR,2025-05-11,14,6,5,19,False,True,50,2025-04-27 00:00:00,False
NAG,JAI,QP,HIST-000,Economy,6011,INR,2024-05-16,14,3,5,20,False,False,50,2024-05-02 00:00:00,False
GAU,STV,2T,HIST-000,Economy,13755,INR,2024-04-21,14,6,4,16,False,True,50,2024-04-07 00:00:00,False
JAI,VNS,9I,HIST-000,Economy,13690,INR,2024-01-26,14,4,1,4,False,False,50,2024-01-12 00:00:00,False
RPR,DEL,I5,HIST-000,Economy,6455,INR,2024-07-14,14,6,7,28,False,True,50,2024-06-30 00:00:00,False
BOM,PNQ,9I,HIST-000,Economy,16605,INR,2023-01-04,14,2,1,1,False,False,50,2022-12-21 00:00:00,False
LKO,COK,SG,HIST-000,Economy,11925,INR,2023-09-23,14,5,9,38,False,True,50,2023-09-09 00:00:00,False
DEL,LKO,AI,HIST-000,Economy,5993,INR,2025-02-13,14,3,2,7,False,False,50,2025-01-30 00:00:00,False
PNQ,LKO,UK,HIST-000,Economy,6281,INR,2025-10-28,14,1,10,44,False,False,50,2025-10-14 00:00:00,False
JAI,MAA,6E,HIST-000,Economy,8833,INR,2023-09-15,14,4,9,37,False,False,50,2023-09-01 00:00:00,False
PNQ,PAT,QP,HIST-000,Economy,10069,INR,2025-01-08,14,2,1,2,False,False,50,2024-12-25 00:00:00,False
CCU,COK,AI,HIST-000,Economy,4304,INR,2023-06-27,14,1,6,26,False,False,50,2023-06-13 00:00:00,False
RPR,AMD,9I,HIST-000,Economy,7245,INR,2023-08-05,14,5,8,31,False,True,50,2023-07-22 00:00:00,False
DEL,BBI,AI,HIST-000,Economy,6182,INR,2023-02-02,14,3,2,5,False,False,50,2023-01-19 00:00:00,False
RPR,PNQ,I5,HIST-000,Economy,11178,INR,2024-12-22,14,6,12,51,False,True,50,2024-12-08 00:00:00,False
BLR,CCU,I5,HIST-000,Economy,8251,INR,2024-09-12,14,3,9,37,False,False,50,2024-08-29 00:00:00,False
VNS,GAU,I5,HIST-000,Economy,15121,INR,2024-07-05,14,4,7,27,False,False,50,2024-06-21 00:00:00,False
PNQ,STV,I5,HIST-000,Economy,13516,INR,2024-04-04,14,3,4,14,False,False,50,2024-03-21 00:00:00,False
RPR,COK,6E,HIST-000,Economy,5529,INR,2025-06-10,14,1,6,24,False,False,50,2025-05-27 00:00:00,False
IDR,COK,S5,HIST-000,Economy,4623,INR,2023-10-26,14,3,10,43,False,False,50,2023-10-12 00:00:00,False
COK,GOI,UK,HIST-000,Economy,10698,INR,2025-02-14,14,4,2,7,False,False,50,2025-01-31 00:00:00,False
BLR,STV,2T,HIST-000,Economy,4988,INR,2025-05-08,14,3,5,19,False,False,50,2025-04-24 00:00:00,False
CCU,GAU,S5,HIST-000,Economy,4893,INR,2023-05-08,14,0,5,19,False,False,50,2023-04-24 00:00:00,False
GAU,VNS,AI,HIST-000,Economy,3442,INR,2023-08-04,14,4,8,31,False,False,50,2023-07-21 00:00:00,False
BOM,PNQ,9I,HIST-000,Economy,14939,INR,2023-09-21,14,3,9,38,False,False,50,2023-09-07 00:00:00,False
RPR,GAU,2T,HIST-000,Economy,12615,INR,2023-10-12,14,3,10,41,False,False,50,2023-09-28 00:00:00,False
VNS,PAT,QP,HIST-000,Economy,10312,INR,2025-12-16,14,1,12,51,False,False,50,2025-12-02 00:00:00,False
CCU,BBI,I5,HIST-000,Economy,8425,INR,2025-01-09,14,3,1,2,False,False,50,2024-12-26 00:00:00,False
BOM,CCU,AI,HIST-000,Economy,7082,INR,2024-04-04,14,3,4,14,False,False,50,2024-03-21 00:00:00,False
LKO,AMD,I5,HIST-000,Economy,4385,INR,2024-02-10,14,5,2,6,False,True,50,2024-01-27 00:00:00,False
PNQ,NAG,2T,HIST-000,Economy,7551,INR,2025-05-05,14,0,5,19,False,False,50,2025-04-21 00:00:00,False
STV,GOI,6E,HIST-000,Economy,9128,INR,2023-05-09,14,1,5,19,False,False,50,2023-04-25 00:00:00,False
PNQ,COK,AI,HIST-000,Economy,2665,INR,2024-08-12,14,0,8,33,False,False,50,2024-07-29 00:00:00,False
GOI,COK,AI,HIST-000,Economy,11471,INR,2024-09-03,14,1,9,36,False,False,50,2024-08-20 00:00:00,False
BBI,JAI,I5,HIST-000,Economy,11993,INR,2024-10-27,14,6,10,43,False,True,50,2024-10-13 00:00:00,False
HYD,DEL,UK,HIST-000,Economy,11703,INR,2023-09-14,14,3,9,37,False,False,50,2023-08-31 00:00:00,False
STV,LKO,6E,HIST-000,Economy,7245,INR,2023-04-13,14,3,4,15,False,False,50,2023-03-30 00:00:00,False
BBI,NAG,SG,HIST-000,Economy,12638,INR,2023-02-18,14,5,2,7,False,True,50,2023-02-04 00:00:00,False
LKO,JAI,I5,HIST-000,Economy,8924,INR,2024-03-01,14,4,3,9,False,False,50,2024-02-16 00:00:00,False
STV,HYD,QP,HIST-000,Economy,11090,INR,2025-10-26,14,6,10,43,False,True,50,2025-10-12 00:00:00,False
STV,LKO,2T,HIST-000,Economy,13518,INR,2025-02-21,14,4,2,8,False,False,50,2025-02-07 00:00:00,False
COK,IDR,6E,HIST-000,Economy,8613,INR,2024-03-27,14,2,3,13,False,False,50,2024-03-13 00:00:00,False
STV,HYD,QP,HIST-000,Economy,10410,INR,2024-11-05,14,1,11,45,False,False,50,2024-10-22 00:00:00,False
DEL,MAA,QP,HIST-000,Economy,7102,INR,2024-03-19,14,1,3,12,False,False,50,2024-03-05 00:00:00,False
PAT,JAI,I5,HIST-000,Economy,4347,INR,2024-01-26,14,4,1,4,False,False,50,2024-01-12 00:00:00,False
GOI,DEL,6E,HIST-000,Economy,11434,INR,2024-06-11,14,1,6,24,False,False,50,2024-05-28 00:00:00,False
IDR,GOI,2T,HIST-000,Economy,10773,INR,2023-09-20,14,2,9,38,False,False,50,2023-09-06 00:00:00,False
MAA,AMD,2T,HIST-000,Economy,10050,INR,2024-08-15,14,3,8,33,False,False,50,2024-08-01 00:00:00,False
HYD,MAA,2T,HIST-000,Economy,8384,INR,2023-11-02,14,3,11,44,False,False,50,2023-10-19 00:00:00,False
NAG,HYD,UK,HIST-000,Economy,6195,INR,2023-10-01,14,6,10,39,False,True,50,2023-09-17 00:00:00,False
GOI,DEL,SG,HIST-000,Economy,14628,INR,2023-07-18,14,1,7,29,False,False,50,2023-07-04 00:00:00,False
PNQ,JAI,QP,HIST-000,Economy,9650,INR,2025-12-05,14,4,12,49,False,False,50,2025-11-21 00:00:00,False
CCU,BOM,UK,HIST-000,Economy,16223,INR,2023-12-11,14,0,12,50,False,False,50,2023-11-27 00:00:00,False
MAA,HYD,UK,HIST-000,Economy,2865,INR,2023-10-02,14,0,10,40,False,False,50,2023-09-18 00:00:00,False
DEL,STV,6E,HIST-000,Economy,8883,INR,2023-01-04,14,2,1,1,False,False,50,2022-12-21 00:00:00,False
BOM,IDR,QP,HIST-000,Economy,5805,INR,2024-06-25,14,1,6,26,False,False,50,2024-06-11 00:00:00,False
PNQ,BOM,9I,HIST-000,Economy,14049,INR,2025-07-02,14,2,7,27,False,False,50,2025-06-18 00:00:00,False
GAU,RPR,UK,HIST-000,Economy,7719,INR,2024-03-11,14,0,3,11,False,False,50,2024-02-26 00:00:00,False
BLR,GAU,9I,HIST-000,Economy,9106,INR,2024-06-02,14,6,6,22,False,True,50,2024-05-19 00:00:00,False
CCU,JAI,6E,HIST-000,Economy,16664,INR,2024-01-19,14,4,1,3,False,False,50,2024-01-05 00:00:00,False
HYD,GOI,2T,HIST-000,Economy,6504,INR,2024-02-17,14,5,2,7,False,True,50,2024-02-03 00:00:00,False
CCU,RPR,QP,HIST-000,Economy,11501,INR,2024-10-03,14,3,10,40,False,False,50,2024-09-19 00:00:00,False
BBI,AMD,G8,HIST-000,Economy,2878,INR,2023-01-25,14,2,1,4,False,False,50,2023-01-11 00:00:00,False
AMD,HYD,S5,HIST-000,Economy,8633,INR,2025-02-11,14,1,2,7,False,False,50,2025-01-28 00:00:00,False
PNQ,COK,2T,HIST-000,Economy,9850,INR,2025-01-16,14,3,1,3,False,False,50,2025-01-02 00:00:00,False
IDR,RPR,QP,HIST-000,Economy,13849,INR,2024-01-15,14,0,1,3,False,False,50,2024-01-01 00:00:00,False
RPR,PAT,SG,HIST-000,Economy,11176,INR,2023-01-06,14,4,1,1,False,False,50,2022-12-23 00:00:00,False
LKO,JAI,G8,HIST-000,Economy,6752,INR,2024-06-26,14,2,6,26,False,False,50,2024-06-12 00:00:00,False
JAI,BLR,AI,HIST-000,Economy,8699,INR,2023-06-13,14,1,6,24,False,False,50,2023-05-30 00:00:00,False
RPR,IDR,G8,HIST-000,Economy,11997,INR,2024-02-23,14,4,2,8,False,False,50,2024-02-09 00:00:00,False
PAT,BLR,S5,HIST-000,Economy,10345,INR,2024-06-07,14,4,6,23,False,False,50,2024-05-24 00:00:00,False
AMD,DEL,6E,HIST-000,Economy,5225,INR,2025-05-28,14,2,5,22,False,False,50,2025-05-14 00:00:00,False
NAG,CCU,AI,HIST-000,Economy,14565,INR,2024-11-22,14,4,11,47,False,False,50,2024-11-08 00:00:00,False
NAG,HYD,QP,HIST-000,Economy,11777,INR,2025-08-26,14,1,8,35,False,False,50,2025-08-12 00:00:00,False
BBI,MAA,UK,HIST-000,Economy,5733,INR,2023-09-01,14,4,9,35,False,False,50,2023-08-18 00:00:00,False
IDR,MAA,UK,HIST-000,Economy,11180,INR,2025-03-19,14,2,3,12,False,False,50,2025-03-05 00:00:00,False
GAU,STV,S5,HIST-000,Economy,11100,INR,2023-05-21,14,6,5,20,False,True,50,2023-05-07 00:00:00,False
COK,PAT,AI,HIST-000,Economy,3683,INR,2025-12-21,14,6,12,51,False,True,50,2025-12-07 00:00:00,False
DEL,STV,I5,HIST-000,Economy,9564,INR,2023-01-03,14,1,1,1,False,False,50,2022-12-20 00:00:00,False
GAU,AMD,UK,HIST-000,Economy,3768,INR,2025-02-05,14,2,2,6,False,False,50,2025-01-22 00:00:00,False
